DT,SOLAR_FORECAST,SOLAR_ACTUAL,SOLAR_MIN,SOLAR_MAX,WIND_FORECAST,WIND_ACTUAL,WIND_MIN,WIND_MAX,SOLAR_AE,SOLAR_APE_%,SOLAR_IN_RANGE,WIND_AE,WIND_APE_%,WIND_IN_RANGE,TOTAL_SUPPLY_MW,ROLLING_STD_24H
2025-09-01 00:00:00,0.0,0.0,0.0,0.0,472.77,413.52,327.69,570.81,0.0,,1.0,59.25,14.328206616366804,1.0,9607.257388302485,
2025-09-01 01:00:00,0.0,0.0,0.0,0.0,447.3,371.61,286.35,574.09,0.0,,1.0,75.69,20.36812787599903,1.0,9458.153902919548,
2025-09-01 02:00:00,0.0,0.0,0.0,0.0,409.71,273.82,248.38,501.32,0.0,,1.0,135.89,49.62749251332992,1.0,9427.391300979025,
2025-09-01 03:00:00,0.0,0.0,0.0,0.0,371.11,175.22,209.82,437.7,0.0,,1.0,195.89000000000001,111.79659856180801,0.0,9419.898442349098,
2025-09-01 04:00:00,0.0,0.0,0.0,0.0,313.03,127.55,160.36,393.59,0.0,,1.0,185.47999999999996,145.4174833398667,0.0,9526.927516643607,
2025-09-01 05:00:00,0.0,0.0,0.0,0.0,291.5,103.93,133.1,381.86,0.0,,1.0,187.57,180.4772442990474,0.0,9567.05168251478,
2025-09-01 06:00:00,9.84,0.91,7.1,14.76,249.81,93.34,112.1,347.26,8.93,981.3186813186812,0.0,156.47,167.63445468180845,0.0,9525.889815722112,
2025-09-01 07:00:00,248.29,174.38,202.14,300.03,219.59,84.88,94.69,334.9,73.91,42.38444775777039,0.0,134.71,158.70640904806788,0.0,9763.014991297461,
2025-09-01 08:00:00,820.53,732.23,699.17,955.71,160.48,67.02,58.25,291.71,88.29999999999995,12.059052483509273,1.0,93.46,139.45091017606686,1.0,10003.89390671405,
2025-09-01 09:00:00,1285.23,1300.53,1218.76,1365.27,85.09,44.19,38.23,192.36,15.299999999999955,1.1764434499780823,1.0,40.900000000000006,92.55487666892964,1.0,10389.074880867609,
2025-09-01 10:00:00,1452.09,1511.49,1391.14,1497.8,53.2,40.39,36.66,114.16,59.40000000000009,3.9298969890637774,0.0,12.810000000000002,31.715771230502604,1.0,10567.610328696768,
2025-09-01 11:00:00,1487.19,1563.01,1438.36,1545.2,70.98,41.77,39.68,120.47,75.81999999999994,4.85089666732778,0.0,29.21,69.93057218099113,1.0,10761.162209858423,
2025-09-01 12:00:00,1477.74,1617.49,1427.82,1519.87,93.59,66.75,49.09,132.42,139.75,8.639929767726539,0.0,26.840000000000003,40.20973782771536,1.0,10798.47500745366,
2025-09-01 13:00:00,1452.09,1559.96,1409.34,1497.29,106.92,97.14,46.45,168.89,107.87000000000012,6.914920895407582,0.0,9.780000000000001,10.06794317479926,1.0,10943.791879320604,
2025-09-01 14:00:00,1442.74,1581.75,1385.2,1509.55,132.87,76.41,57.12,189.04,139.01,8.788367314683104,0.0,56.46000000000001,73.8908519827248,1.0,11040.94698804085,
2025-09-01 15:00:00,1426.85,1483.8,1380.5,1518.29,136.12,60.09,58.76,211.78,56.950000000000045,3.838118344790406,1.0,76.03,126.52687635213846,1.0,11054.386117561939,
2025-09-01 16:00:00,1338.84,1299.42,1300.02,1434.31,169.79,37.1,62.46,353.41,39.419999999999845,3.0336611719074544,0.0,132.69,357.65498652291103,0.0,10868.224441608947,
2025-09-01 17:00:00,1046.14,1068.65,1032.05,1174.32,266.92,105.85,81.89,529.64,22.50999999999999,2.106395920086089,1.0,161.07000000000002,152.16816249409544,1.0,10581.30545655739,
