date,SOLAR_MAE,SOLAR_MAPE%,SOLAR_Coverage%,WIND_MAE,WIND_MAPE%,WIND_Coverage%,RollingStd24h
2025-08-01,644.4921739130434,,30.434782608695656,769.0778260869564,235.913443584956,21.73913043478261,450.64243374259587
2025-08-02,428.17043478260877,,30.434782608695656,345.23,105.89877300613497,52.17391304347826,549.8332476844622
2025-08-03,302.4208695652174,,30.434782608695656,584.8330434782608,179.39663910376103,17.391304347826086,430.9095284664452
2025-08-04,347.43652173913046,73.90565188477888,43.47826086956522,447.0747826086956,97.18988973015337,56.52173913043478,369.5167328231168
2025-08-05,111.3278260869565,37.73169441621696,47.82608695652174,263.6721739130435,78.24945981219135,65.21739130434783,533.5763178236718
2025-08-06,71.52217391304349,18.445164610545948,60.86956521739131,404.6821739130435,63.75450921975983,69.56521739130434,646.8376491343932
2025-08-07,33.700869565217374,23.342978774443203,78.26086956521739,545.5508695652173,36.36437794120866,47.82608695652174,654.2547266772178
2025-08-08,70.69260869565218,81.41650389763674,65.21739130434783,297.6382608695652,16.812084922906347,56.52173913043478,574.160825869085
2025-08-09,82.14173913043481,43.66104851840651,52.17391304347826,384.10608695652184,34.52111037047629,21.73913043478261,457.13586306697715
2025-08-10,102.3869565217391,52.86688486353073,21.73913043478261,182.00565217391303,25.567789928407986,78.26086956521739,489.8963206699988
2025-08-11,79.07826086956524,47.944654225943204,34.78260869565217,263.9160869565217,45.86809033385296,60.86956521739131,555.0621809800641
2025-08-12,77.79695652173913,30.886717745548786,34.78260869565217,240.68347826086955,64.82950285928236,86.95652173913044,680.7973629068618
2025-08-13,31.062173913043488,38.32096723588124,78.26086956521739,297.4078260869565,17.24313796731115,91.30434782608695,594.8856430537081
2025-08-14,98.62043478260865,36.45728700354597,43.47826086956522,380.7181818181818,35.38372958353096,39.130434782608695,608.8627356084777
2025-08-15,80.2708695652174,33.04437250992052,65.21739130434783,413.7626086956523,33.262289947508286,78.26086956521739,489.13168851370733
2025-08-16,56.02913043478261,28.88012294110153,73.91304347826086,294.41739130434786,15.730943647077792,78.26086956521739,474.53348648665326
2025-08-17,41.18521739130434,34.98504839172419,65.21739130434783,167.50173913043483,14.535132322491823,86.95652173913044,505.01714880055465
2025-08-18,75.93695652173912,20.593454354116435,56.52173913043478,293.4152173913043,41.53782683164461,65.21739130434783,497.0779334951918
2025-08-19,86.03000000000003,37.97235042697861,39.130434782608695,221.8473913043478,248.95838275029524,78.26086956521739,614.193250820477
2025-08-20,71.23695652173913,29.257186888265856,60.86956521739131,260.50608695652176,17.53881296856158,95.65217391304348,533.1371771915526
2025-08-21,67.0195652173913,49.035658849666035,52.17391304347826,185.0282608695652,18.623569634253982,86.95652173913044,577.1129477839696
2025-08-22,59.48913043478263,45.57187166113809,43.47826086956522,145.33,45.22898256492953,52.17391304347826,393.6790992555826
2025-08-23,79.15173913043476,36.99921256612458,43.47826086956522,84.64913043478259,21.812392916476693,95.65217391304348,472.7429849623501
2025-08-24,88.02217391304347,46.824337165985156,39.130434782608695,217.18347826086955,15.497278124853104,91.30434782608695,407.51216156455183
2025-08-25,89.89217391304346,44.21061946446449,47.82608695652174,136.10434782608698,29.246679962816337,82.6086956521739,461.229167769816
2025-08-26,80.05608695652175,45.42276589541852,47.82608695652174,192.59761904761905,35.64356343952708,78.26086956521739,540.677546919805
2025-08-27,74.20304347826088,58.3268484480825,43.47826086956522,308.76086956521743,94.46696285295448,56.52173913043478,550.349534645096
2025-08-28,45.56173913043477,45.58911930007388,91.30434782608695,232.19260869565218,37.71989473682861,69.56521739130434,426.7572244215593
2025-08-29,120.78739130434779,208.49158323869895,47.82608695652174,252.96739130434787,61.66388806822914,95.65217391304348,449.317641707252
2025-08-30,64.14000000000001,225.80710191947756,56.52173913043478,372.5552173913044,51.34706168399761,69.56521739130434,519.9450514980509
2025-08-31,61.0995652173913,196.3533642403995,30.434782608695656,396.9052173913044,55.35460725589166,43.47826086956522,533.4215598862975
