DT,SOLAR_FORECAST,SOLAR_ACTUAL,SOLAR_MIN,SOLAR_MAX,WIND_FORECAST,WIND_ACTUAL,WIND_MIN,WIND_MAX,SOLAR_AE,SOLAR_APE_%,SOLAR_IN_RANGE,WIND_AE,WIND_APE_%,WIND_IN_RANGE,TOTAL_SUPPLY_MW,ROLLING_STD_24H
2025-07-01 00:00:00,0.0,0.0,0.0,0.0,1446.35,728.18,1094.12,1805.32,0.0,,1.0,718.17,98.62533988848912,0.0,9768.404322844031,
2025-07-01 01:00:00,0.0,0.0,0.0,0.0,1550.41,709.79,1131.03,2104.97,0.0,,1.0,840.6200000000001,118.43221234449628,0.0,9757.400283683033,
2025-07-01 02:00:00,0.0,0.0,0.0,0.0,1561.47,818.89,1044.14,2471.37,0.0,,1.0,742.58,90.6812880850908,0.0,9534.138049800546,
2025-07-01 03:00:00,0.0,0.0,0.0,0.0,1561.28,615.15,968.34,2622.55,0.0,,1.0,946.13,153.80476306591888,0.0,9438.276755871164,
2025-07-01 04:00:00,0.0,0.0,0.0,0.0,1439.85,438.68,720.95,2595.87,0.0,,1.0,1001.1699999999998,228.2233062824838,0.0,9277.839880583302,
2025-07-01 05:00:00,31.62,12.35,29.24,43.14,1186.41,440.05,648.44,2064.09,19.270000000000003,156.03238866396765,0.0,746.3600000000001,169.6079990910124,0.0,9426.894120230976,
2025-07-01 06:00:00,283.16,252.39,251.4,317.28,945.18,398.51,473.55,1924.76,30.77000000000004,12.191449740481017,1.0,546.67,137.17848987478357,0.0,9854.033718813324,
2025-07-01 07:00:00,772.19,797.14,710.13,877.57,672.9,305.42,233.08,1350.76,24.949999999999932,3.1299395338334457,1.0,367.47999999999996,120.31955995023245,1.0,9995.004042502182,
2025-07-01 08:00:00,1144.0,1296.11,1059.67,1275.85,407.41,165.34,68.29,824.43,152.1099999999999,11.735886614562029,0.0,242.07000000000002,146.40740292730132,1.0,10187.541107649324,
2025-07-01 09:00:00,1361.31,1529.42,1280.14,1467.64,269.77,82.41,62.62,561.66,168.11000000000013,10.991748505969591,0.0,187.35999999999999,227.3510496298993,1.0,10408.224362070065,
2025-07-01 10:00:00,1470.17,1666.26,1412.53,1563.92,206.04,125.66,102.13,357.65,196.08999999999992,11.768271458235805,0.0,80.38,63.9662581569314,1.0,10643.242836824924,
2025-07-01 11:00:00,1531.62,1715.23,1454.83,1595.67,163.33,92.13,84.46,302.33,183.61000000000013,10.704686835001727,0.0,71.20000000000002,77.28210137848694,1.0,10777.019131707322,
2025-07-01 12:00:00,1548.53,1723.72,1483.81,1596.7,154.07,61.09,79.19,261.26,175.19000000000005,10.163483628431534,0.0,92.97999999999999,152.20166966770336,0.0,10921.69020080266,
2025-07-01 13:00:00,1555.73,1705.35,1502.21,1596.18,134.29,68.97,60.45,252.19,149.6199999999999,8.77356554373002,0.0,65.32,94.70784399014063,1.0,10937.235274798692,
2025-07-01 14:00:00,1553.48,1730.12,1499.13,1573.66,124.59,78.69,46.79,253.93,176.63999999999987,10.209696437241341,0.0,45.900000000000006,58.330156309569205,1.0,11083.103692036113,
2025-07-01 15:00:00,1522.11,1721.04,1380.17,1557.18,133.31,138.67,67.8,251.15,198.93000000000006,11.558708687770189,0.0,5.359999999999985,3.8652916997187465,1.0,11182.20471830669,
2025-07-01 16:00:00,1430.59,1682.98,1215.53,1505.08,150.38,188.51,84.33,247.36,252.3900000000001,14.996613150483077,0.0,38.129999999999995,20.22704365816137,1.0,11120.213500958234,
2025-07-01 17:00:00,1344.66,1557.05,1098.93,1403.93,193.57,252.04,81.32,407.04,212.38999999999987,13.640538197231939,0.0,58.47,23.198698619266782,1.0,11021.60506709699,
2025-07-01 19:00:00,657.37,920.01,587.16,717.5,393.92,518.73,238.58,599.95,262.64,28.54751578787187,0.0,124.81,24.060686677076706,1.0,10676.757395045868,
2025-07-01 20:00:00,211.37,327.43,186.23,246.96,658.59,773.59,403.57,871.07,116.06,35.44574412851602,0.0,115.0,14.8657557620962,1.0,10655.95701833929,
2025-07-01 21:00:00,25.75,21.23,20.49,35.23,1077.71,1442.99,721.44,1355.77,4.52,21.29062647197362,1.0,365.28,25.314104740850592,0.0,10861.716404713707,
2025-07-01 22:00:00,0.0,0.0,0.0,0.0,1487.06,2374.34,1066.1,1950.53,0.0,,1.0,887.2800000000002,37.3695426939697,0.0,10730.826701795822,628.507144767254
2025-07-01 23:00:00,0.0,0.0,0.0,0.0,1863.74,2688.18,1190.55,2710.32,0.0,,1.0,824.4399999999998,30.669077219531427,1.0,10517.518718039344,613.2280156995548
2025-07-02 00:00:00,0.0,0.0,0.0,0.0,2114.0,2730.69,1252.59,3226.5,0.0,,1.0,616.69,22.583669328997434,1.0,10517.338488395744,598.4546780906065
2025-07-02 01:00:00,0.0,0.0,0.0,0.0,2469.04,2898.96,1709.65,3383.87,0.0,,1.0,429.9200000000001,14.830145983387148,1.0,10292.61765024028,581.9149756350026
2025-07-02 02:00:00,0.0,0.0,0.0,0.0,2583.65,2741.25,1827.15,3267.19,0.0,,1.0,157.5999999999999,5.749202006383946,1.0,10184.67090088951,551.4802010714749
2025-07-02 03:00:00,0.0,0.0,0.0,0.0,2596.02,2536.92,1965.27,3168.95,0.0,,1.0,59.09999999999991,2.329596518613118,1.0,10150.906665196286,510.45757287721034
2025-07-02 04:00:00,0.0,0.0,0.0,0.0,2543.93,2395.78,1935.65,3030.94,0.0,,1.0,148.14999999999964,6.183789830451862,1.0,10128.495442068684,446.5357054978523
2025-07-02 05:00:00,30.42,9.93,24.88,44.87,2527.98,2274.37,1887.28,3140.86,20.490000000000002,206.34441087613297,0.0,253.61000000000013,11.150780216059838,1.0,10373.5397124047,380.0745954700987
2025-07-02 06:00:00,269.81,224.53,237.27,330.17,2410.59,2206.58,1753.05,2957.71,45.28,20.166570168797044,0.0,204.01000000000022,9.245529280606197,1.0,10788.37475805766,348.2146903351147
2025-07-02 07:00:00,731.34,839.0,647.06,889.1,2185.3,1805.36,1427.13,2586.97,107.65999999999997,12.831942789034562,1.0,379.9400000000003,21.04511011654187,1.0,11091.109581177227,333.38673323931846
2025-07-02 08:00:00,1098.56,1337.79,925.31,1283.08,1766.8,1254.82,1043.16,2180.66,239.23000000000002,17.88247781789369,0.0,511.98,40.80107106995426,1.0,11109.468211603662,328.22104300011506
2025-07-02 09:00:00,1276.56,1531.87,1110.82,1452.15,1380.86,924.42,852.07,1829.33,255.30999999999995,16.66655786718194,0.0,456.43999999999994,49.375824841522245,1.0,11659.849942662831,374.3273699019659
2025-07-02 10:00:00,1410.02,1592.63,1266.02,1530.79,1223.83,995.84,869.82,1817.91,182.61000000000013,11.4659399860608,0.0,227.9899999999999,22.8942400385604,1.0,12107.894483307493,462.9433543504322
2025-07-02 11:00:00,1446.82,1511.32,1338.6,1555.69,1298.42,1162.21,1007.05,1824.55,64.5,4.2677923934044415,1.0,136.21000000000004,11.719912924514505,1.0,12265.300488941702,548.2602903672843
2025-07-02 12:00:00,1482.06,1536.94,1411.49,1561.4,1433.63,1379.49,1066.08,2074.14,54.88000000000011,3.5707314534074266,1.0,54.1400000000001,3.92463881579425,1.0,12275.560897765723,617.4298737845193
2025-07-02 13:00:00,1479.98,1528.28,1386.72,1563.38,1666.67,1641.84,1095.88,2272.76,48.299999999999955,3.160415630643596,1.0,24.830000000000155,1.5123276324124248,1.0,12514.009177790598,695.8206246135771
2025-07-02 14:00:00,1448.05,1446.7,1219.41,1566.93,1802.12,1849.32,1166.89,2484.61,1.349999999999909,0.09331582221607168,1.0,47.200000000000045,2.5522894901909914,1.0,12593.897957773432,767.5832199217984
2025-07-02 15:00:00,1418.07,1388.66,1227.88,1537.82,1890.34,2164.71,1323.67,2441.98,29.409999999999854,2.117869024815279,1.0,274.3700000000001,12.674676977516624,1.0,12725.828103310912,838.7178717379015
2025-07-02 16:00:00,1307.62,1345.93,994.01,1498.74,1998.55,2321.88,1499.1,2439.81,38.31000000000017,2.8463590231290015,1.0,323.33000000000015,13.925353592778272,1.0,12658.448345168614,894.4674820853537
2025-07-02 17:00:00,1159.73,1094.09,796.68,1389.12,2030.65,2361.21,1127.08,2471.23,65.6400000000001,5.999506439141214,1.0,330.55999999999995,13.999601899026345,1.0,12229.324708892695,917.7234282505916
2025-07-02 19:00:00,568.44,698.77,525.0,732.68,1989.69,1713.42,1235.64,2401.04,130.32999999999993,18.651344505345097,1.0,276.27,16.123892565745702,1.0,11540.227950940736,918.9905616729062
2025-07-02 20:00:00,180.78,289.86,168.73,249.16,2348.22,1742.47,1371.45,2611.7,109.08000000000001,37.63196025667564,0.0,605.7499999999998,34.76386967924841,1.0,11496.966039508883,908.0050547558495
2025-07-02 21:00:00,20.4,26.17,16.06,32.91,2779.06,1644.56,1820.8,3213.1,5.770000000000003,22.04814673290028,1.0,1134.5,68.98501726905677,0.0,11426.629463765465,901.5980458658148
2025-07-02 22:00:00,0.0,6.98,0.0,0.0,3168.61,1779.82,2460.76,3900.92,6.98,100.0,0.0,1388.7900000000002,78.02980076636965,0.0,10958.571329490356,895.5149791312701
2025-07-02 23:00:00,0.0,0.93,0.0,0.0,3021.73,1788.08,2012.88,3859.68,0.93,100.0,0.0,1233.65,68.99299807614872,0.0,10478.055169159812,897.2431633715619
2025-07-03 00:00:00,0.0,0.0,0.0,0.0,3196.87,1825.82,2109.18,3726.83,0.0,,1.0,1371.05,75.0922873010483,0.0,10374.93130314161,903.7799182917867
2025-07-03 01:00:00,0.0,0.0,0.0,0.0,3319.39,1960.18,2533.05,3917.4,0.0,,1.0,1359.2099999999998,69.34108092113989,0.0,10175.62287941333,910.2703320957736
2025-07-03 02:00:00,0.0,0.0,0.0,0.0,3353.96,1857.59,2949.9,3956.93,0.0,,1.0,1496.3700000000001,80.55437421605414,0.0,10108.045049575832,914.8012478674091
2025-07-03 03:00:00,0.0,0.0,0.0,0.0,3311.27,2194.22,2892.46,3734.34,0.0,,1.0,1117.0500000000002,50.90875117353776,0.0,9989.289702711983,924.8267643782514
