date,SOLAR_MAE,SOLAR_MAPE%,SOLAR_Coverage%,WIND_MAE,WIND_MAPE%,WIND_Coverage%,RollingStd24h
2025-07-01,101.01260869565218,23.198803961581305,43.47826086956522,396.224347826087,92.02998442231353,56.52173913043478,620.8675802334044
2025-07-02,61.13304347826088,32.541407821487724,65.21739130434783,403.2621739130435,23.191014735646995,86.95652173913044,639.885457175114
2025-07-03,102.60782608695652,28.02295425663994,43.47826086956522,597.158695652174,35.367154355843894,78.26086956521739,787.2017542721687
2025-07-04,106.67434782608694,90.94916119657508,65.21739130434783,154.51130434782613,14.626322286863127,86.95652173913044,616.8714236741645
2025-07-05,104.80347826086957,61.2425821729201,39.130434782608695,352.2263636363636,36.899079675117655,56.52173913043478,394.71150113694887
2025-07-06,101.72391304347829,55.591766422859955,34.78260869565217,301.621304347826,38.54567069574444,73.91304347826086,276.0440324800483
2025-07-07,111.69478260869563,37.19121573378995,26.08695652173913,113.76391304347828,51.747725518472436,65.21739130434783,632.183331521722
2025-07-08,74.97434782608696,32.50348186535713,43.47826086956522,427.9708695652174,22.12495839751944,65.21739130434783,611.3378944392027
2025-07-09,65.63608695652175,27.891555926140786,52.17391304347826,579.2065217391305,23.763880591649528,39.130434782608695,697.8369195487054
2025-07-10,106.08739130434782,29.903765229897747,69.56521739130434,208.8573913043478,12.962623718179378,95.65217391304348,740.8253248704434
2025-07-11,85.04565217391306,49.12796639430812,39.130434782608695,146.19521739130434,14.390010388085596,86.95652173913044,505.1290738279141
2025-07-12,64.54478260869566,198.6073833659219,60.86956521739131,370.15173913043486,36.34069810958895,73.91304347826086,425.767724470602
2025-07-13,103.76913043478261,30.666695360266164,43.47826086956522,324.1186956521739,46.20287067709981,78.26086956521739,567.8724311939401
2025-07-14,35.71434782608695,92.43966903346069,52.17391304347826,603.1939130434783,39.57768043419668,73.91304347826086,452.27275193605647
2025-07-15,71.51521739130435,21.440722527138462,73.91304347826086,186.55347826086964,49.89986842329575,86.95652173913044,560.0732583888104
2025-07-16,125.05478260869566,32.7556490680606,47.82608695652174,116.49260869565215,8.685691228905961,100.0,434.2745405916458
2025-07-17,122.36565217391302,103.28728524336891,43.47826086956522,134.4104347826087,28.023536563838235,86.95652173913044,545.1216057729731
2025-07-18,107.78347826086954,44.419838602721356,39.130434782608695,187.43043478260873,32.64922014035719,82.6086956521739,442.48419215044044
2025-07-19,89.47043478260872,37.045722808870465,47.82608695652174,222.93434782608688,23.29027771758706,91.30434782608695,341.3787717440812
2025-07-20,107.44608695652175,60.79487912248174,47.82608695652174,123.7982608695652,18.534104434510773,95.65217391304348,385.0585691920082
2025-07-21,54.00434782608694,56.53267161191824,60.86956521739131,180.64565217391302,31.71717553216529,60.86956521739131,329.0288902120186
2025-07-22,21.29,74.59901382525148,73.91304347826086,373.6304347826087,31.76671682408923,56.52173913043478,357.06484164594417
2025-07-23,47.30043478260868,162.1923508263825,69.56521739130434,173.88086956521735,23.028003582444263,78.26086956521739,432.19149627260435
2025-07-24,68.75086956521739,5115.317496189424,43.47826086956522,388.7608695652174,20.712661337085212,86.95652173913044,593.4424410727754
2025-07-25,69.06782608695652,281.3182585187299,47.82608695652174,439.9921739130433,58.196654609908926,65.21739130434783,630.5906172107599
2025-07-26,73.47652173913043,284.820406867972,34.78260869565217,323.20826086956527,40.50818882298485,56.52173913043478,473.2320334074221
2025-07-27,96.68130434782607,59.87345155677612,73.91304347826086,219.4369565217391,51.19774936288206,91.30434782608695,393.1013419349331
2025-07-28,352.76818181818186,,30.434782608695656,194.63913043478263,59.70525473459589,43.47826086956522,470.8165132385173
2025-07-29,508.0743478260869,,30.434782608695656,284.0847826086956,87.14257135236062,43.47826086956522,605.8779576321853
2025-07-30,655.8756521739131,,30.434782608695656,875.4717391304347,268.5496132301947,43.47826086956522,641.7647386287033
2025-07-31,690.4108695652175,,30.434782608695656,1096.4352173913044,336.3298212856762,0.0,544.2435624675253
